record_id,ticket_id,clientid,client_name_,client_industry,client_country,client_city,contract_type,serviceline,project_code,engagement_start_date,engagement_end_date_,ticket_created_at,ticket_resolved_at,priority,status,category_,assigned_engineer,engineer_email,engineerlevel,engineer_experience_years,billing_rate_(usd),hours_logged,billable_amount_usd,sla_hours,resolution_time_hours,sla_breached,csat_score,customer_comment,year,month,total
36019,TCK-786877,CL1009,Kite Foods,FMCG,India,Pune,Staff Aug.,ERP Services,PRJ414-2025,2022-01-06,20231005,2022-10-03 22:27:33,04/10/2022 05:59,p1,Closed,Service Request, Hannah Kulkarni ,hannah.kulkarni@ACME-ITSERVICES.COM,Tier 4,12.6,90.14,,582.3,4,7.53,True,2.6565434396413163,"Network latency persists in the Mumbai office, needs deeper analysis.",2022.0,10.0,
23623,TCK-939913,CL1002,Vertex Pharma,Pharmaceuticals,Switzerland,Zürich,MANAGED SERVICES,Infrastructure Management,PRJ874-2021,2019-03-04,2020-03-24,2019-08-30 18:02:24,30-Aug-2019 19:57,P1 - Critical,Closed ,CHANGE REQUEST,Yuki Moreau,yuki.moreau@acme_itservices.com,L4,8.1,105.99,1.44,,4,1.92,False,2.6565434396413163,"Great turnaround, engineer explained the RCA clearly.",2019.0,8.0,152.6256
6130,TCK-436529,CL1001,Helios Retail Group,Retail,United Kingdom,Manchester,FIXED BID,Quality Engineering,PRJ171-2019,24/04/2022,2026-04-03,2023-05-16 12:31:55,2023-05-17T00:52:19,p2,RESOLVED,Service Request,Hiro Sharma,hiro.sharma@acmeit.co,LEVEL-3,9.3,79.54,11.63,925.05,8,12.34,True,2.6565434396413163,"Fix applied, but the workaround was manual, needs permanent solution.  ",2023.0,5.0,925.0502000000001
32792,TCK-386938,CL1006,Cascade Energy,Energy,Canada,Calgary,STAFF AUGMENTATION,Infrastructure Management,PRJ307-2020,01/25/2022,20240604,2022-07-26 19:20:00,07/30/2022 09:36 AM,4,Resolved ,Change Request,Nathan Davies,nathan.davies@acme-itservices.com,Tier 4,14.0,130.79,72.31,9457.42,72,86.27,True,2.0,"	No update provided, SLA clearly missed.",2022.0,7.0,9457.4249
29305,TCK-650479,CL1004,Blue Harbour Logistics,Logistics,Netherlands,Rotterdam,staff aug,Cloud & DevOps,PRJ747-2020,11/07/2023,03/01/2027,2023-11-16 00:29:07,,4,in progress,Enh,Daniel Muller,daniel.muller@acme_itservices.com,l3,5.6,64.78,28.0,1799.59,72 hours,,False,2.6565434396413163,"	Data refresh job failed again, third time this month.",2023.0,11.0,1813.8400000000001
8434,TCK-404227,CL1001,Helios Retail Group,retail,UK,Manchester,Retainer,Application Support,PRJ969-2023,1624665,10/08/2021,2021-09-18 20:48:36,,2,in progress,CR,Neha Silva,neha.silva@acme-itservices.com,l4,12.6,108.4,10.16,1101.34,8,,False,2.6565434396413163, ,2021.0,9.0,1101.344
13742,TCK-610531,CL1019,Redstone Defence,aerospace,united states,Huntsville,retainer,  Cybersecurity ,PRJ592-2023,"Jul 15, 2023",04/13/2027,2027-01-24 16:45:07,1800812203,1,Closed,Change Request,MEERA SMITH,meera.smith@acme_itservices.com,Level 3,8 yrs,71.84,0.59,42.39,4,0.86,False,5.0,,2027.0,1.0,42.3856
26455,TCK-261711,CL1024,Sundial Apparel,Apparel,Bangladesh,Dhaka,Managed Services,Network Operations,PRJ946-2024,06/29/2022,"Jan 05, 2025",2023-04-01 07:05:57,01/04/2023 16:47,P2,Closed,Inc.,Neha Silva,neha.silva@acme_itservices.com,LEVEL-3,9.1,86.28,7.0,623.8,8,9.69,True,2.6565434396413163,"Network latency persists in the Mumbai office, needs deeper analysis.",2023.0,4.0,603.96
12283,TCK-241037,CL1015,Sierra Mining,Mining,Brazil,São Paulo,MANAGED SERVICES,Application Support,PRJ663-2024,07/18/2019,04/06/2022,2020-02-06 12:04:00,02/19/2020 02:48 AM,2,CLOSED,enhancement,divya zhang,divya.zhang@acme-itservices.com,LEVEL-2,4.4,41.0,253.85,10397.7,8,302.73,True,2.6565434396413163,"Great turnaround, engineer explained the RCA clearly.",2020.0,2.0,10407.85
38685,TCK-879087,CL1019,Redstone Defence,Aerospace,USA,Huntsville,Retainer,Quality Engineering,PRJ556-2025,2019-10-21,03-Feb-2022,2021-04-13 13:41:15,13/04/2021 22:37,?,RESOLVED,service request,Wei Novak,wei.novak@acme_itservices.com,Architect,12.8,99.35,4.2,417.27,24,8.93,False,3.0,,2021.0,4.0,417.27
15352,TCK-604317,CL1012,Orchid Airlines,Aviation,Singapore,Singapore,Managed Services,Data & Analytics,PRJ519-2019,1608508,28-Aug-2024,2022-05-10 15:36:29,13/05/2022 00:35,p3,Auto-Closed,SERVICE REQUEST,chen silva,chen.silva@acmeit.co,Level 2,6.4,43.0,50.81,2182.29,24,56.99,True,2.6565434396413163,"""Excellent support"", said our ops lead. Will recommend.",2022.0,5.0,2184.83
11375,TCK-275749,CL1026,Beacon Public Services,Public Sector,US,Sacramento,time & material,Cloud & DevOps,PRJ575-2021,20210813,2024-02-28,,06/17/2022 02:04 PM,High,RESOLVED,Enhancement,Vikram Weber,,Level 3,?,70.35,8.01,,8,11.55,True,1.0,,,,563.5034999999999
8718,TCK-664378,CL1018,Halcyon Hotels,Hospitality,Spain,Barcelona,RETAINER,Cybersecurity,PRJ921-2020,09/29/2021,05-Jun-2022,,10/10/2021 20:57,P4,Closed ,Enh,Elena Weber,elena.weber@acmeit.co,Level 1,1 yrs,24.62,67.94,1672.68,72,81.86,True,3.0,"No update provided, SLA clearly missed.",,,1672.6828
18693,TCK-850143,CL1007,Pioneer Health Systems,Healthcare,United States,Boston,Staff Aug.,Infrastructure Management,PRJ609-2022,20200531,"May 31, 2024",2024-03-31 01:22:49,,2,Pending Customer,problem,Chen Bose,chen.bose[at]acmeit.co,Level 2,5.5,52.81,,1369.89,8,,False,2.6565434396413163,"Network latency persists in the Mumbai office, needs deeper analysis.",2024.0,3.0,
41413,TCK-203182,CL1005,Saffron Telecom,Telecom,India,Bengaluru,Staff Aug.,Data & Analytics,PRJ494-2021,20220109,"Sep 10, 2025",,,LOW,open,Enh,Tomas Costa,tomas.costa@acme_itservices.com,l4,12.5,132.87,32.71,4346.2,72,,True,2.6565434396413163,"Fix applied, but the workaround was manual, needs permanent solution.",,,4346.1777
11068,TCK-472151,CL1001,Helios Retail Group,Retail,U.K.,Manchester,Fixed-Bid,Application Development,PRJ928-2023,"Jan 27, 2019",2020-04-27,,26-Nov-2019 12:32,P4,Resolved,CR,Nathan Evans,nathan.evans@acmeit.co,Tier 1,0.6,27.48,,14873.82,72 hours,618.27,True,3.0,?,,,
10194,TCK-910762,CL1027,Willow Biotech,Biotechnology,France,Lyon,RETAINER,Infrastructure Management,PRJ498-2019,"May 24, 2019",21/10/2021,2019-08-28 16:15:00,08/29/2019 07:07 AM,medium,CLOSED,PROBLEM,	Sofia Taylor,sofia.taylor@acmeit.co,l2,5.6,39.3,6.91,271.56,24,14.87,False,1.0,,2019.0,8.0,271.563
45826,TCK-388161,CL1009,Kite Foods,FMCG,India,Pune,Managed Svcs,Cloud & DevOps,PRJ848-2019,1689552,20251021,2025-10-07 01:04:00,,4,in progress,enhancement,,chen.fischer@ACME-ITSERVICES.COM,L1,2.4,22.5,30.84,693.9,72,,False,2.6565434396413163,  Escalated to the account manager; response after that was good.,2025.0,10.0,693.9
44641,TCK-343310,CL1007,Pioneer Health Systems,Healthcare,United States,Boston,retainer,Cybersecurity,PRJ959-2019,2020-02-28,missing,,31/01/2022 04:20,p1,resolved,ENHANCEMENT,Fatima Brown,fatima.brown@ACME-ITSERVICES.COM,LEVEL-1,120.0,29.31,3.51,102.88,4,4.26,True,2.6565434396413163,Escalated to the account manager; response after that was good.,,,102.87809999999999
20780,TCK-870981,CL1025,Quarry Construction,Construction,United Arab Emirates,Dubai,MANAGED SERVICES,Data & Analytics,PRJ205-2022,07-Feb-2020,2021-04-08,2020-07-22 23:34:00,1595484295,high,RESOLVED,ENHANCEMENT,Rohit Roberts  ,rohit.roberts@ACME-ITSERVICES.COM,Level 2,5.8,,4.34,207.32,8,6.50,False,4.0,Patch deployed in the maintenance window; downtime was 12 mins.,2020.0,7.0,
511,TCK-995122,CL1028,Ironclad Steel,Metals,Japan,Osaka,Managed Svcs,Service Desk,PRJ377-2022,05/16/2021,30-May-2024,,,LOW,OPEN,Enh,Lucas Rossi,lucas.rossi@acmeit.co,L2,3.6,52.64,18.0,953.31,72,,False,2.6565434396413163,"Ticket bounced between L1 and L2, took far too long, not happy.",,,947.52
36988,TCK-170797,CL1003,Auric Motors,Automotive,Germany,München,Time and Material,Infrastructure Management,PRJ836-2021,1651881,30/03/2026,2024-08-25 05:20:16,27-Aug-2024 22:40,p3,Resolved,problem,Wei Wang,wei.wang@acme_itservices.com,Level 3,7.8,66.89,31.44,2103.0,24,65.33,True,2.6565434396413163,"Thanks,
issue is fixed now.",2024.0,8.0,2103.0216
16837,TCK-184177,CL1020,Fjord Maritime,Shipping,Norway,Bergen,Fixed-Bid,Application Development,PRJ608-2023,20230414,2023-07-29,,04-Jun-2023 14:46,p1,Closed,Enh,emma smith,emma.smith@ACME-ITSERVICES.COM,Level 3,9 yrs,68.21,3.42,233.28,4,6.58,True,2.0,"Fix applied, but the workaround was manual, needs permanent solution.",,,233.27819999999997
1558,TCK-795642,CL1012,Orchid Airlines,Aviation,Singapore,Singapore,FixedBid,Network Operations,PRJ159-2023,1546819,1670112,2022-04-10 16:06:59,,low,OPEN,problem,Noah Taylor,noah.taylor@ACME-ITSERVICES.COM,l1,,34.51,24.46,844.1,72,,False,2.6565434396413163,"""Excellent support"", said our ops lead. Will recommend.",2022.0,4.0,844.1146
25266,TCK-307213,CL1002,Vertex Pharma,PHARMACEUTICALS,Switzerland,zürich,TIME & MATERIAL,DATA & ANALYTICS,PRJ364-2023,"Dec 27, 2022",,2023-03-27 04:55:00,,p3, Open,Problem,Fatima Novak,fatima.novak@acme_itservices.com,Level 2,3.9,43.9,,1713.42,24,,False,2.6565434396413163,"Great turnaround, engineer explained the RCA clearly.",2023.0,3.0,
34045,TCK-818951,CL1010,Atlas Manufacturing,Manufacturing,Mexico,Monterrey,Managed Services,Service Desk,PRJ374-2019,01-Apr-2021,20231013,2023-05-13 20:26:00,,P1,open,Change Request,Wei Horvath,wei.horvath@ACME-ITSERVICES.COM,Level 2,1.7,,13.0,740.69,4,,False,2.6565434396413163,na,2023.0,5.0,
15917,TCK-946965,CL1016,Copperleaf Agro,Agriculture,India,Nagpur,staff aug,Cloud & Devops,PRJ229-2024,12/01/2019,2020-09-16,2020-03-08 11:59:20,09-Mar-2020 18:46,p2,Resolved,Service Request,  Tomas Wilson,tomas.wilson@acmeit.co,Tier 2,4.5,,30.02,3118.8,8,30.79,True,1.0,"Network latency persists in the Mumbai office, needs deeper analysis.",2020.0,3.0,
13636,TCK-211155,CL1005,Saffron Telecom,Telecom,India,Bengaluru,Retainer,Service Desk,PRJ261-2019,08-Feb-2020,"Jun 06, 2023",,2020-10-07T04:25:43,p3,Closed ,INCIDENT,Ananya Patel,ananya.patel@ACME-ITSERVICES.COM,Level 3,6.1,63.7,11.51,733.19,24,22.03,False,1.0,,,,733.187
37553,TCK-345793,CL1010,Atlas Manufacturing,Manufacturing,Mexico,Monterrey,FixedBid,QUALITY ENGINEERING,PRJ750-2024,07/06/2020,?,2022-09-30 15:22:49,2022-10-07T00:02:25,Low,CLOSED,Enhancement,Hannah Iyer,hannah.iyer@ACME-ITSERVICES.COM,Level 1,3.3,34.4,63.02,2170.41,72,152.66,True,1.0,"Root cause was a stale config; please document this, thanks!",2022.0,9.0,2167.888
,TCK-978079,CL1008,Meridian Insurance,Insurance,Australia,Sydney,Managed Svcs,cloud & devops,PRJ446-2019,01/20/2021,10/24/2021,2021-09-01 22:32:00,01-Sep-2021 23:31,1,closed,ENHANCEMENT,Diego Wang,diego.wang@acme_itservices.com,Level 1,0.0,25.36,1.03,26.12,4,0.98,False,2.0,--,2021.0,9.0,26.1208
20399,TCK-686248,CL1027,Willow Biotech,Biotechnology,France,Lyon,Retainer,ERP Services,PRJ831-2022,20220923,1771372,,2023-01-07 05:59:29,1, resolved,Svc Request,HANNAH DUBOIS,hannah.dubois@acmeit.co,LEVEL-2,2.8,54.88,,160.25,4,4.07,True,3.0,Issue recurred after 2 days - reopening may be required.,,,
5446,TCK-419753,CL1021,Zephyr Semiconductors,Semiconductors,Taiwan,HSINCHU,RETAINER,CYBERSECURITY,PRJ215-2019,"Mar 16, 2020",03/30/2022,2021-06-06 07:08:00,06/06/2021 13:48,1,closed,Change Request,Noah Rao  ,noah.rao@acme_itservices.com,Tier 3,5.6,59.35,3.92,232.7,4,?,True,2.0,,2021.0,6.0,232.65200000000002
21812,TCK-647883,CL1001,Helios Retail Group,Retail,UK,Manchester,RETAINER,Application Development,PRJ676-2022,2021-02-27,28/01/2025,2021-04-05 18:52:00,1617881050,High,Closed,incident,Diego Nakamura,diego.nakamura@ACME-ITSERVICES.COM,LEVEL-2,,53.51,20.22,1081.97,8,,True,2.0,,2021.0,4.0,1081.9722
41188,TCK-788914,CL1009,Kite Foods,FMCG,India,Pune,Time and Material,cybersecurity,PRJ276-2024,,02/10/2022,2021-03-12 06:24:00,,Critical,OPEN,Change Request,Wei Evans,wei.evans@ACME-ITSERVICES.COM,L3,9.6,84.13,24.15,2031.74,4,,True,2.6565434396413163,"Engineer resolved the issue quickly, no follow-up needed.",2021.0,3.0,2031.7394999999997
18341,TCK-709388,CL1007,Pioneer Health Systems,Healthcare,US,Boston,TIME & MATERIAL,Infrastructure Management,PRJ822-2021,10-Jul-2023,"Nov 07, 2024",2023-08-05 06:33:00,10-Aug-2023 00:38,4,Resolved,CHANGE REQUEST,Laura Iyer,laura.iyer@acmeit.co,l1,0.9,25.64,84.0,2163.76,72,114.07,True,1.0,"Engineer resolved the issue quickly, no follow-up needed.",2023.0,8.0,2153.76
17206,TCK-515728,CL1002,Vertex Pharma,Pharmaceuticals,Switzerland,zürich,Managed Services,cloud & devops,PRJ537-2025,11/03/2020,20220826,,,P3,Open,Prob,Daniel Fischer,daniel.fischer@acme_itservices.com,Level 2,,46.61,,476.35,24 hours,,False,2.6565434396413163,"Data refresh job failed again, third time this month.",,,
37452,TCK-994071,CL1003,Auric Motors,Automotive,  Germany,München,MANAGED SERVICES,Quality Engineering,PRJ296-2023,07/13/2023,?,2025-01-13 03:49:00,01/14/2025 08:35 AM,Medium,Resolved ,enhancement,Ingrid Wilson,ingrid.wilson@acmeit.co,LEVEL-1,3.9,22.82,27.0,623.9,24,28.77,True,2.6565434396413163,,2025.0,1.0,616.14
17542,TCK-600488,CL1009,Kite Foods,FMCG,India,Pune,Staff Aug.,Application Support,PRJ682-2021,1618790,"Jun 30, 2023",2022-02-10 18:10:27,11/02/2022 01:48,2,Resolved,incident,Samuel Rao,samuel.rao@acmeit.co,Tier 3,9.1,84.98,,437.65,8,7.63,False,2.6565434396413163,The ticket was closed without confirming with us. Please avoid.,2022.0,2.0,
6469,TCK-562868,CL1002,Vertex Pharma,Pharmaceuticals,	Switzerland,Zürich,Fixed-Bid,Cybersecurity,PRJ422-2025,01-Feb-2023,20230623,2023-05-26 04:13:12,26/05/2023 08:21,p3,CLOSED,change request,Karan Fischer,karan.fischer@acme-itservices.com,Tier 3,8.9,83.97,4.0,338.4,24,-0.50,False,4.0,Patch deployed in the maintenance window; downtime was 12 mins.,2023.0,5.0,335.88
11750,TCK-200021,CL1027,Willow Biotech,Biotechnology,France,Lyon,Staff Augmentation,Data & Analytics,PRJ911-2021,"Dec 16, 2021",09/06/2024,2022-08-15 06:20:11,,2,in progress,Prob,Tomas Reddy,tomas.reddy@ACME-ITSERVICES.COM,LEVEL-1,1.3,34.87,2.76,96.24,8,,True,2.6565434396413163,"Network latency persists in the Mumbai office, needs deeper analysis.",2022.0,8.0,96.24119999999999
22995,TCK-580040,CL1002,Vertex Pharma,Pharmaceuticals,Switzerland,Zürich,managed services,Infrastructure Management,PRJ590-2024,"Jun 29, 2023",2024-10-03,,29-Oct-2023 01:37,P2, resolved,Problem,Ingrid Wang,ingrid.wang@acmeit.co,Level 3,6.4,88.03,11.26,991.22,8,10.62,True,5.0,--,,,991.2178
39724,TCK-634561,CL1027,Willow Biotech,Biotechnology,France,Lyon,fixed bid,QUALITY ENGINEERING,PRJ771-2019,2021-02-21,20230202,2021-08-24 03:35:00,,Medium,Cancelled,Enh,Wei Kulkarni,wei.kulkarni@acme_itservices.com,L4,-5.0,132.55,24.0,3162.6,24,,False,2.6565434396413163,Patch deployed in the maintenance window; downtime was 12 mins.,2021.0,8.0,3181.2000000000003
36149,TCK-828134,CL1028,Ironclad Steel,Metals,Japan,Osaka,TIME & MATERIAL,Application Support,PRJ301-2021,29/04/2021,11/26/2022,2022-08-21 09:27:31,,HIGH,OPEN,PROBLEM,	Chen Moreau,chen.moreau@acmeit.co,Level 4,12.2,124.48,5.26,654.76,8,,False,2.6565434396413163,"Fix applied, but the workaround was manual, needs permanent solution.",2022.0,8.0,654.7648
39425,TCK-317501,CL1027,Willow Biotech,Biotechnology,France,Lyon,FixedBid,Cybersecurity,PRJ910-2020,03/18/2019,1667347,2019-08-31 12:30:15,01/09/2019 05:52,medium,Auto-Closed,Problem,Diego Wilson,diego.wilson@ACME-ITSERVICES.COM,Tier 4,11.3,110.4,14.0,1523.52,24,17.37,False,2.6565434396413163,"Report was wrong, numbers did not tie out, had to redo manually.",2019.0,8.0,1545.6000000000001
36246,TCK-777704,CL1023,Everline Education,Education,Canada  ,Toronto,T&M,Network Operations,PRJ767-2022,,"Dec 12, 2021",2020-05-26 14:32:00,1590521819,2,resolved,incident,Rohit Zhang,rohit.zhang@acme_itservices.com,Tier 3,9 yrs,65.63,5.0,330.1,8,5.07,False,5.0,,2020.0,5.0,328.15
11273,TCK-336314,CL1008,Meridian Insurance,insurance,Australia,Sydney,Fixed-Bid,Cloud & DevOps,PRJ672-2025,09/03/2022,20241016,2023-09-03 07:36:45,2023-09-03 18:52:21,p2,Closed ,SERVICE REQUEST,Tomas Brown,tomas.brown@acmeit.co,LEVEL-3,,64.3,11.41,733.66,8,11.26,True,1.0,,2023.0,9.0,733.663
8422,TCK-314842,CL1028,Ironclad Steel,metals,	Japan,Osaka,Managed Svcs,Data & Analytics,PRJ702-2022,11/24/2019,31-Jul-2022,2021-05-21 08:34:11,,p2,Canceled,CHANGE REQUEST,Meera Iyer,meera.iyer@acmeit.co,Level 1,0.0,24.4,,530.7,8,,False,2.6565434396413163,"Report was wrong, numbers did not tie out, had to redo manually.",2021.0,5.0,
38276,TCK-841013,CL1000,Northwind Bank,Banking,United States,CHARLOTTE,Managed Services,Quality Engineering,PRJ780-2020,20190121,2021-11-07,2019-04-04 07:35:00,,Low,In-Progress,Svc Request,  Omar Aziz,omar.aziz@acme-itservices.com,Level 1,2.4,30.44,18.0,543.96,72,,False,2.6565434396413163,"Network latency persists in the Mumbai office, needs deeper analysis.",2019.0,4.0,547.9200000000001
25822,TCK-985181,CL1013,Granite Capital,Financial Services,United Kingdom,London,Retainer,DATA & ANALYTICS,PRJ903-2025,25/04/2019,14-Aug-2022,2020-01-09 08:58:00,08-Sep-2020 05:03,4,Auto-Closed,Problem,Laura Horvath,laura.horvath@acmeit.co,L3,6.1,62.65,128.0,8006.0,72,164.07,True,2.0,,2020.0,1.0,8019.2
33557,TCK-134741,CL1026,Beacon Public Services,Public Sector,US,Sacramento,time & material,Service Desk,PRJ976-2020,20200911,"Nov 14, 2023",2023-07-22 18:48:00,1690104453,Medium,resolved,Incident, Samuel Silva ,samuel.silva@acme-itservices.com,Level 1,0.9,23.14,15.4,356.36,24,14.65,False,5.0,na,2023.0,7.0,356.356
25897,TCK-859212,CL1003,Auric Motors,Automotive,Germany,München,STAFF AUGMENTATION,Application Development,PRJ302-2022,1680825,08/25/2025,2025-08-09 02:31:22,25/12/2025 19:41, ,CLOSED,na,Emma Weber,emma.weber@ACME-ITSERVICES.COM,l4,12.7,113.42,1900.66,215572.86,72,3329.17,True,2.6565434396413163,Escalated to the account manager; response after that was good.,2025.0,8.0,215572.8572
13993,TCK-574522,CL1012,Orchid Airlines,Aviation,Singapore  ,Singapore,T&M,Quality Engineering,PRJ783-2021,20220620,11/02/2022,2022-10-26 09:54:00,,p2,Closed ,ENHANCEMENT,Noah Wang,?,Tier 2,3.4,46.6,4.0,,8,13.59,True,5.0,,2022.0,10.0,186.4
3748,TCK-986541,CL1006,Cascade Energy,Energy,Canada,Calgary,STAFF AUGMENTATION,ERP SERVICES,PRJ715-2021,01/19/2021,10-Nov-2022,2022-03-22 14:10:00,22-Mar-2022 23:26,p2,RESOLVED,change request,Yuki Rao,yuki.rao@acmeit.co,Level 3,8.3,70.3,3.0,219.34,8,9.26,True,3.0,"""Excellent support"", said our ops lead. Will recommend.",2022.0,3.0,210.89999999999998
8174,TCK-120119,CL1002,Vertex Pharma,Pharmaceuticals,Switzerland,Zürich,Time & Material,Data & Analytics,PRJ874-2022,25-May-2022,,2022-08-15 06:56:00,15/08/2022 19:44,P3,resolved,service request,Lucas Nakamura,lucas.nakamura@ACME-ITSERVICES.COM,LEVEL-1,2.5,33.04,9.0,,24,12.80,False,4.0,"Data refresh job failed again, third time this month.",2022.0,8.0,297.36
27930,TCK-779468,CL1002,Vertex Pharma,Pharmaceuticals,Switzerland,Zürich,Fixed-Bid,data & analytics,PRJ188-2025,,2021-06-12,,20/12/2019 13:24,high,Resolved,incident,Priya Haddad,priya.haddad@acme_itservices.com,Tier 4,13.3,104.43,133.35,,,121.51,True,1.0,"Ticket bounced between L1 and L2, took far too long, not happy.",,,13925.7405
7038,TCK-589015,CL1028,Ironclad Steel,Metals,Japan,Osaka,Fixed Bid,Cloud & DevOps,PRJ184-2024,06/09/2023,20240203,,02/11/2023 20:57,P3,Resolved ,problem,Grace Kowalski,grace.kowalski@ACME-ITSERVICES.COM,Architect,10.9,117.55,,151842.86,24,1754.65,True,2.6565434396413163,"Thanks,
issue is fixed now.",,,
40572,TCK-789057,CL1015,Sierra Mining,Mining,Brazil,São Paulo,Time and Material,Cybersecurity,PRJ744-2025,15-May-2023,20241018,2024-06-26 01:51:52,2024-06-26 08:41:04,P1 - Critical,CLOSED,INCIDENT,Mia Iyer,mia.iyer@acme_itservices.com,Level 4,13.4,114.39,4.0,,4,6.82,True,5.0,"Great turnaround, engineer explained the RCA clearly.",2024.0,6.0,457.56
38006,TCK-192113,CL1020,Fjord Maritime,Shipping,Norway,Bergen,FixedBid,Data & Analytics,PRJ698-2020,2021-12-29,2023-04-01,2022-06-20 22:43:00,,P1,In-Progress,ENHANCEMENT,Peter Davies  ,peter.davies@acme-itservices.com,l2,1.5,54.33,,2170.48,4,,False,2.6565434396413163,"Fix applied, but the workaround was manual, needs permanent solution.",2022.0,6.0,
4627,TCK-102718,CL1026,Beacon Public Services,Public Sector,United States,Sacramento,Staff Aug.,  NETWORK OPERATIONS ,PRJ219-2023,04/29/2019,,2020-04-27 01:10:00,1587975741,P3,RESOLVED,service request,MEERA SMITH,meera.smith@acme_itservices.com,LEVEL-1,0.0,34.57,2.0,,24,7.19,False,2.0,,2020.0,4.0,69.14
